mp_id,post_id,unit_id,parent_id,unit_type,unit_code,post_title
18069,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
18069,3,155,,mpg,VNM,Член групи з міжпарламентських зв'язків з Соціалістичною Республікою В'єтнам
18069,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
18069,3,6,,mpg,AZB,Член групи з міжпарламентських зв'язків з Азербайджанською Республікою
18043,2,88,,fra,rp,Член депутатської фракції Радикальної партії Олега Ляшка
18043,1,158,19,sct,komagropolit16,"Голова підкомітету з питань соціальної політики агропромислового комплексу, розвитку сільських територій, науки та освіти Комітету Верховної Ради України з питань аграрної політики та земельних відносин"
18043,3,6,,mpg,AZB,Член групи з міжпарламентських зв'язків з Азербайджанською Республікою
18043,3,140,,mpg,KWT,Член групи з міжпарламентських зв'язків з Державою Кувейт
18043,5,75,,mpg,QAT,Заступник керівника групи з міжпарламентських зв'язків з Державою Катар
18043,3,66,,mpg,ROM,Член групи з міжпарламентських зв'язків з Румунією
18043,3,17,,mpg,GEO,Член групи з міжпарламентських зв'язків з Грузією
18043,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
18067,6,19,,cmt,komagropolit,Член Комітету Верховної Ради України з питань аграрної політики та земельних відносин
18067,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18067,3,46,,mpg,LBN,Член групи з міжпарламентських зв'язків з Республікою Ліван
18067,3,82,,mpg,CHE,Член групи з міжпарламентських зв'язків з Швейцарською Конфедерацією
18067,5,150,,mpg,DNK,Заступник керівника групи з міжпарламентських зв'язків з Королівством Данія
18067,3,45,,mpg,CAN,Член групи з міжпарламентських зв'язків з Канадою
18067,3,49,,mpg,FIN,Член групи з міжпарламентських зв'язків з Фінляндською Республікою
18067,3,146,,mpg,IRN,Член групи з міжпарламентських зв'язків з Республікою Іран
18067,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
18068,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18068,6,29,,cmt,komekolog,"Член Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи"
18068,3,30,,mpg,EST,Член групи з міжпарламентських зв'язків з Естонською Республікою
18068,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
18068,3,75,,mpg,QAT,Член групи з міжпарламентських зв'язків з Державою Катар
